ROUTE,TOTAL_FLIGHTS,TOTAL_CANCELLED,TOTAL_ARRIVED,DELAYED_FLIGHTS_W,ARR_DELAY_MIN_W,CANCEL_RATE,DELAY_RATE,AVG_ARR_DELAY_MIN
CLT-SMF,376,4.0,371.0,130.0,9363.0,0.010638297872340425,0.3504043126684636,25.237196765498652
CLT-SNA,211,1.0,210.0,50.0,2969.0,0.004739336492890996,0.23809523809523808,14.138095238095238
CLT-SRQ,1546,14.0,1530.0,347.0,25029.0,0.009055627425614488,0.22679738562091503,16.358823529411765
CLT-STL,1865,8.0,1855.0,437.0,29896.0,0.004289544235924933,0.23557951482479783,16.11644204851752
CLT-STT,471,0.0,470.0,68.0,4548.0,0.0,0.14468085106382977,9.676595744680851
CLT-STX,71,0.0,70.0,16.0,975.0,0.0,0.22857142857142856,13.928571428571429
CLT-SYR,1052,5.0,1045.0,238.0,16782.0,0.004752851711026616,0.22775119617224882,16.05933014354067
CLT-TLH,710,5.0,703.0,89.0,5876.0,0.007042253521126761,0.12660028449502134,8.35846372688478
CLT-TPA,3276,43.0,3229.0,923.0,70599.0,0.013125763125763126,0.28584701145865593,21.864044595850107
CLT-TRI,605,7.0,598.0,78.0,7408.0,0.011570247933884297,0.13043478260869565,12.387959866220736
CLT-TTN,86,6.0,80.0,33.0,3103.0,0.06976744186046512,0.4125,38.7875
CLT-TUL,729,4.0,723.0,160.0,12211.0,0.0054869684499314125,0.22130013831258644,16.889349930843707
CLT-TVC,11,0.0,11.0,1.0,67.0,0.0,0.09090909090909091,6.090909090909091
CLT-TYS,2187,6.0,2177.0,438.0,27674.0,0.0027434842249657062,0.20119430408819478,12.71198897565457
CLT-VPS,1023,3.0,1016.0,255.0,19574.0,0.002932551319648094,0.25098425196850394,19.265748031496063
CLT-XNA,1424,7.0,1414.0,338.0,25747.0,0.0049157303370786515,0.23903818953323905,18.208628005657708
CMH-ATL,3072,27.0,3042.0,336.0,27236.0,0.0087890625,0.11045364891518737,8.953320184089415
CMH-AUS,355,2.0,351.0,71.0,3419.0,0.005633802816901409,0.2022792022792023,9.74074074074074
CMH-BNA,721,5.0,714.0,73.0,5086.0,0.006934812760055479,0.10224089635854341,7.1232492997198875
CMH-BOS,1581,28.0,1546.0,198.0,13568.0,0.017710309930423784,0.12807244501940493,8.776196636481242
CMH-BWI,1102,9.0,1092.0,122.0,7393.0,0.008166969147005444,0.11172161172161173,6.77014652014652
CMH-CLT,1823,11.0,1809.0,348.0,32858.0,0.006034009873834339,0.19237147595356552,18.163626312880044
CMH-DAL,388,5.0,380.0,72.0,3840.0,0.01288659793814433,0.18947368421052632,10.105263157894736
CMH-DCA,2064,21.0,2041.0,241.0,15206.0,0.010174418604651164,0.11807937285644292,7.450269475747183
CMH-DEN,1718,16.0,1692.0,332.0,21947.0,0.009313154831199068,0.19621749408983452,12.971040189125295
CMH-DFW,1766,26.0,1736.0,308.0,42450.0,0.014722536806342015,0.1774193548387097,24.452764976958527
CMH-DTW,1370,11.0,1358.0,127.0,14378.0,0.008029197080291971,0.093519882179676,10.587628865979381
CMH-EWR,2035,78.0,1954.0,210.0,12646.0,0.03832923832923833,0.10747185261003071,6.471852610030706
CMH-FLL,995,10.0,980.0,256.0,18364.0,0.010050251256281407,0.2612244897959184,18.738775510204082
CMH-HOU,365,2.0,361.0,45.0,2488.0,0.005479452054794521,0.12465373961218837,6.89196675900277
CMH-IAD,627,7.0,618.0,43.0,3168.0,0.011164274322169059,0.06957928802588997,5.12621359223301
CMH-IAH,701,9.0,690.0,174.0,12957.0,0.012838801711840228,0.25217391304347825,18.778260869565216
CMH-JFK,2195,57.0,2131.0,232.0,17007.0,0.025968109339407745,0.10886907555138432,7.980760206475833
CMH-LAS,981,9.0,972.0,265.0,16545.0,0.009174311926605505,0.2726337448559671,17.021604938271604
CMH-LAX,354,3.0,351.0,92.0,6847.0,0.00847457627118644,0.2621082621082621,19.507122507122507
CMH-LGA,3262,89.0,3166.0,372.0,25790.0,0.027283874923359902,0.11749842072015161,8.145925457991156
CMH-MCO,2252,31.0,2213.0,472.0,35316.0,0.013765541740674956,0.2132851333032083,15.95842747401717
CMH-MDW,1698,29.0,1667.0,250.0,16744.0,0.01707891637220259,0.14997000599880023,10.044391121775645
CMH-MIA,680,2.0,676.0,116.0,7648.0,0.0029411764705882353,0.17159763313609466,11.31360946745562
CMH-MSN,2,0.0,2.0,1.0,16.0,0.0,0.5,8.0
CMH-MSP,1240,12.0,1227.0,140.0,13719.0,0.00967741935483871,0.11409942950285248,11.180929095354523
CMH-MYR,37,0.0,37.0,4.0,197.0,0.0,0.10810810810810811,5.324324324324325
CMH-OMA,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CMH-ORD,2896,23.0,2870.0,568.0,47580.0,0.007941988950276244,0.19790940766550522,16.578397212543553
CMH-PHL,1109,24.0,1084.0,141.0,16258.0,0.02164111812443643,0.13007380073800737,14.998154981549815
CMH-PHX,927,4.0,921.0,97.0,8844.0,0.004314994606256742,0.10532030401737243,9.602605863192183
CMH-RSW,631,1.0,627.0,92.0,5932.0,0.001584786053882726,0.1467304625199362,9.460925039872409
CMH-SEA,448,0.0,448.0,66.0,3936.0,0.0,0.14732142857142858,8.785714285714286
CMH-SFO,354,3.0,349.0,107.0,9024.0,0.00847457627118644,0.30659025787965616,25.856733524355302
CMH-SRQ,143,2.0,141.0,30.0,1686.0,0.013986013986013986,0.2127659574468085,11.957446808510639
CMH-STL,628,2.0,625.0,108.0,5631.0,0.0031847133757961785,0.1728,9.0096
CMH-TPA,861,6.0,854.0,157.0,11646.0,0.006968641114982578,0.18384074941451992,13.637002341920375
CMI-DFW,728,15.0,712.0,98.0,7224.0,0.020604395604395604,0.13764044943820225,10.146067415730338
CMI-ORD,681,10.0,670.0,76.0,8321.0,0.014684287812041116,0.11343283582089553,12.419402985074626
CMX-ORD,705,43.0,662.0,151.0,16054.0,0.06099290780141844,0.2280966767371601,24.250755287009063
CNY-DEN,412,10.0,398.0,63.0,9210.0,0.024271844660194174,0.15829145728643215,23.14070351758794
CNY-SLC,226,1.0,225.0,9.0,629.0,0.004424778761061947,0.04,2.7955555555555556
COD-DEN,35,2.0,33.0,6.0,1642.0,0.05714285714285714,0.18181818181818182,49.75757575757576
COS-ATL,210,0.0,209.0,31.0,3538.0,0.0,0.14832535885167464,16.928229665071772
COS-DAL,984,13.0,966.0,151.0,10471.0,0.013211382113821139,0.15631469979296067,10.839544513457557
COS-DEN,4245,89.0,4152.0,791.0,61699.0,0.020965842167255593,0.19051059730250483,14.860067437379577
COS-DFW,1781,25.0,1745.0,372.0,41466.0,0.01403705783267827,0.21318051575931232,23.762750716332377
COS-HOU,14,0.0,14.0,3.0,205.0,0.0,0.21428571428571427,14.642857142857142
COS-IAH,380,2.0,375.0,62.0,5363.0,0.005263157894736842,0.16533333333333333,14.301333333333334
COS-LAS,1072,11.0,1060.0,222.0,15425.0,0.010261194029850746,0.20943396226415095,14.55188679245283
COS-LAX,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0
COS-LGB,166,1.0,165.0,35.0,2044.0,0.006024096385542169,0.21212121212121213,12.387878787878789
COS-MDW,421,5.0,415.0,75.0,4521.0,0.011876484560570071,0.18072289156626506,10.893975903614457
COS-MSP,103,1.0,102.0,8.0,728.0,0.009708737864077669,0.0784313725490196,7.137254901960785
COS-ORD,681,4.0,676.0,119.0,13631.0,0.005873715124816446,0.1760355029585799,20.164201183431953
COS-PHX,968,7.0,961.0,170.0,12613.0,0.007231404958677686,0.1768990634755463,13.124869927159208
COS-SAN,14,0.0,14.0,3.0,98.0,0.0,0.21428571428571427,7.0
COS-SAT,14,0.0,14.0,3.0,128.0,0.0,0.21428571428571427,9.142857142857142
COS-SLC,526,3.0,522.0,42.0,3139.0,0.005703422053231939,0.08045977011494253,6.013409961685824
COU-DFW,987,11.0,972.0,171.0,16413.0,0.011144883485309016,0.17592592592592593,16.885802469135804
COU-ORD,432,0.0,431.0,49.0,4244.0,0.0,0.1136890951276102,9.846867749419953
CPR-DEN,997,40.0,955.0,211.0,17885.0,0.04012036108324975,0.22094240837696336,18.727748691099478
CPR-SLC,371,5.0,365.0,33.0,3673.0,0.013477088948787063,0.09041095890410959,10.063013698630137
CRP-DFW,2179,27.0,2148.0,254.0,17994.0,0.012391005048187242,0.11824953445065177,8.37709497206704
CRP-HOU,1318,13.0,1304.0,94.0,6719.0,0.009863429438543247,0.07208588957055215,5.15260736196319
CRP-IAH,230,2.0,227.0,32.0,3580.0,0.008695652173913044,0.14096916299559473,15.77092511013216
CRW-ATL,989,6.0,981.0,155.0,16885.0,0.006066734074823054,0.1580020387359837,17.21202854230377
CRW-CLT,1220,15.0,1204.0,244.0,19251.0,0.012295081967213115,0.2026578073089701,15.98920265780731
CRW-DCA,353,9.0,344.0,23.0,3825.0,0.025495750708215296,0.06686046511627906,11.119186046511627
CRW-MCO,62,3.0,59.0,29.0,2578.0,0.04838709677419355,0.4915254237288136,43.69491525423729
CRW-ORD,854,17.0,834.0,193.0,22249.0,0.01990632318501171,0.2314148681055156,26.677458033573142
CSG-ATL,948,6.0,942.0,102.0,11096.0,0.006329113924050633,0.10828025477707007,11.779193205944798
CSG-DFW,9,0.0,9.0,2.0,81.0,0.0,0.2222222222222222,9.0
CVG-ATL,2720,28.0,2689.0,334.0,27646.0,0.010294117647058823,0.1242097433990331,10.281145407214577
CVG-AUS,719,7.0,712.0,115.0,8263.0,0.009735744089012517,0.16151685393258428,11.605337078651685
CVG-AZA,105,1.0,104.0,26.0,1101.0,0.009523809523809525,0.25,10.586538461538462
CVG-BOS,1692,39.0,1646.0,291.0,24371.0,0.02304964539007092,0.1767922235722965,14.806196840826246
CVG-BWI,951,8.0,943.0,124.0,7248.0,0.008412197686645636,0.13149522799575822,7.686108165429481
CVG-CHS,106,0.0,106.0,20.0,1197.0,0.0,0.18867924528301888,11.29245283018868
CVG-CLT,1834,10.0,1823.0,398.0,40388.0,0.0054525627044711015,0.21832144816236973,22.154690071311027
CVG-DCA,2026,20.0,2003.0,294.0,20129.0,0.009871668311944718,0.14677983025461808,10.049425861208189
CVG-DEN,1957,21.0,1927.0,347.0,29594.0,0.010730710270822688,0.1800726517903477,15.357550596782563
CVG-DFW,1781,24.0,1752.0,340.0,32267.0,0.01347557551937114,0.19406392694063926,18.417237442922374
CVG-DTW,1383,7.0,1376.0,147.0,12516.0,0.005061460592913955,0.1068313953488372,9.095930232558139
CVG-EWR,2231,83.0,2145.0,315.0,27263.0,0.037203047960555805,0.14685314685314685,12.71002331002331
CVG-EYW,105,1.0,104.0,9.0,500.0,0.009523809523809525,0.08653846153846154,4.8076923076923075
CVG-FLL,644,5.0,638.0,146.0,10860.0,0.007763975155279503,0.22884012539184953,17.021943573667713
CVG-IAD,236,0.0,236.0,22.0,1748.0,0.0,0.09322033898305085,7.406779661016949
CVG-IAG,2,0.0,2.0,0.0,0.0,0.0,0.0,0.0
CVG-IAH,739,9.0,730.0,144.0,11652.0,0.012178619756427604,0.19726027397260273,15.961643835616439
CVG-JAX,126,0.0,126.0,25.0,1657.0,0.0,0.1984126984126984,13.15079365079365
CVG-JFK,1877,62.0,1805.0,233.0,18812.0,0.03303143313798615,0.1290858725761773,10.422160664819945
CVG-LAS,828,6.0,820.0,203.0,18429.0,0.007246376811594203,0.2475609756097561,22.474390243902437
CVG-LAX,455,5.0,447.0,79.0,7014.0,0.01098901098901099,0.1767337807606264,15.691275167785236
CVG-LGA,2442,62.0,2370.0,318.0,26023.0,0.025389025389025387,0.1341772151898734,10.980168776371308
CVG-MCO,1618,17.0,1595.0,347.0,33277.0,0.010506798516687269,0.2175548589341693,20.86332288401254
CVG-MDW,1233,9.0,1221.0,172.0,10847.0,0.0072992700729927005,0.14086814086814087,8.883701883701884
CVG-MIA,1047,11.0,1034.0,248.0,21449.0,0.010506208213944603,0.23984526112185686,20.743713733075435
CVG-MSP,1528,11.0,1516.0,168.0,13419.0,0.007198952879581152,0.11081794195250659,8.851583113456464
CVG-MSY,106,0.0,106.0,27.0,1915.0,0.0,0.25471698113207547,18.066037735849058
CVG-MYR,139,0.0,139.0,21.0,1622.0,0.0,0.1510791366906475,11.66906474820144
CVG-ORD,2230,31.0,2197.0,426.0,36141.0,0.01390134529147982,0.1939007737824306,16.450159308147473
CVG-ORF,24,3.0,21.0,12.0,1043.0,0.125,0.5714285714285714,49.666666666666664
CVG-PBI,80,0.0,78.0,26.0,1379.0,0.0,0.3333333333333333,17.67948717948718
CVG-PGD,334,0.0,333.0,85.0,7852.0,0.0,0.2552552552552553,23.57957957957958
CVG-PHL,1012,13.0,999.0,156.0,12208.0,0.012845849802371542,0.15615615615615616,12.22022022022022
CVG-PHX,410,0.0,410.0,88.0,7130.0,0.0,0.2146341463414634,17.390243902439025
CVG-PIE,344,2.0,341.0,73.0,5147.0,0.005813953488372093,0.21407624633431085,15.093841642228739
CVG-PVD,18,0.0,17.0,10.0,599.0,0.0,0.5882352941176471,35.23529411764706
CVG-RDU,522,5.0,517.0,130.0,10520.0,0.009578544061302681,0.2514506769825919,20.34816247582205
CVG-RSW,755,23.0,732.0,169.0,13394.0,0.030463576158940398,0.23087431693989072,18.297814207650273
CVG-SAV,160,0.0,160.0,51.0,6199.0,0.0,0.31875,38.74375
CVG-SEA,725,3.0,721.0,74.0,4875.0,0.004137931034482759,0.10263522884882108,6.761442441054092
CVG-SFB,335,0.0,333.0,78.0,8646.0,0.0,0.23423423423423423,25.963963963963963
CVG-SLC,648,5.0,642.0,42.0,3140.0,0.007716049382716049,0.06542056074766354,4.890965732087228
CVG-SRQ,218,1.0,216.0,77.0,6211.0,0.0045871559633027525,0.35648148148148145,28.75462962962963
CVG-TPA,890,11.0,878.0,211.0,16919.0,0.012359550561797753,0.24031890660592256,19.26993166287016
CVG-VPS,367,5.0,360.0,88.0,7782.0,0.013623978201634877,0.24444444444444444,21.616666666666667
CWA-MSP,730,8.0,722.0,63.0,9018.0,0.010958904109589041,0.08725761772853186,12.490304709141274
CWA-ORD,255,5.0,250.0,53.0,4464.0,0.0196078431372549,0.212,17.856
CYS-DEN,368,13.0,354.0,58.0,10017.0,0.035326086956521736,0.1638418079096045,28.296610169491526
DAB-ATL,1515,18.0,1495.0,159.0,12814.0,0.011881188118811881,0.10635451505016723,8.57123745819398
DAB-CLT,1088,11.0,1073.0,204.0,20877.0,0.01011029411764706,0.19012115563839702,19.456663560111835
DAB-DCA,14,0.0,14.0,3.0,430.0,0.0,0.21428571428571427,30.714285714285715
DAB-DFW,100,1.0,97.0,19.0,1580.0,0.01,0.1958762886597938,16.288659793814432
DAB-DTW,2,0.0,2.0,0.0,2.0,0.0,0.0,1.0
DAB-PHL,106,1.0,104.0,27.0,2830.0,0.009433962264150943,0.25961538461538464,27.21153846153846
DAL-ABQ,1725,26.0,1697.0,337.0,18951.0,0.015072463768115942,0.19858573954036535,11.1673541543901
DAL-AMA,1354,22.0,1329.0,224.0,12746.0,0.01624815361890694,0.16854778028592926,9.590669676448458
DAL-ATL,3501,44.0,3450.0,699.0,52786.0,0.012567837760639817,0.2026086956521739,15.300289855072464
DAL-AUS,2960,51.0,2907.0,479.0,27799.0,0.01722972972972973,0.1647746818025456,9.562779497764017
DAL-BHM,731,7.0,723.0,162.0,9180.0,0.009575923392612859,0.22406639004149378,12.697095435684647
DAL-BNA,2255,30.0,2219.0,423.0,25272.0,0.013303769401330377,0.19062640829202343,11.388913925191527
DAL-BUR,365,7.0,354.0,87.0,4192.0,0.019178082191780823,0.2457627118644068,11.841807909604519
DAL-BWI,1763,29.0,1733.0,376.0,19887.0,0.016449234259784458,0.21696480092325446,11.475476053087132
DAL-BZN,13,0.0,13.0,1.0,59.0,0.0,0.07692307692307693,4.538461538461538
DAL-CHS,320,2.0,318.0,58.0,3530.0,0.00625,0.18238993710691823,11.10062893081761
DAL-CLT,368,3.0,363.0,60.0,3203.0,0.008152173913043478,0.1652892561983471,8.823691460055096
DAL-CMH,388,3.0,385.0,90.0,5086.0,0.007731958762886598,0.23376623376623376,13.21038961038961
DAL-COS,984,14.0,964.0,192.0,10899.0,0.014227642276422764,0.1991701244813278,11.306016597510373
DAL-DCA,1698,26.0,1665.0,356.0,20081.0,0.015312131919905771,0.2138138138138138,12.06066066066066
DAL-DEN,3442,72.0,3356.0,785.0,47080.0,0.020918070889018012,0.23390941597139453,14.028605482717522
DAL-ECP,629,4.0,624.0,159.0,9956.0,0.006359300476947536,0.2548076923076923,15.955128205128204
DAL-ELP,1742,22.0,1718.0,362.0,20855.0,0.012629161882893225,0.21071012805587894,12.139115250291036
DAL-FLL,911,19.0,890.0,208.0,11907.0,0.020856201975850714,0.23370786516853934,13.378651685393258
DAL-HDN,18,0.0,18.0,3.0,138.0,0.0,0.16666666666666666,7.666666666666667
DAL-HOU,4155,74.0,4072.0,675.0,41069.0,0.017809867629362215,0.16576620825147348,10.085707269155206
DAL-HRL,123,2.0,120.0,18.0,1187.0,0.016260162601626018,0.15,9.891666666666667
DAL-IAH,1619,29.0,1587.0,269.0,15853.0,0.017912291537986413,0.1695022054190296,9.989287964713295
DAL-IND,711,11.0,700.0,146.0,8459.0,0.015471167369901548,0.20857142857142857,12.084285714285715
DAL-JAX,65,0.0,61.0,15.0,531.0,0.0,0.2459016393442623,8.704918032786885
DAL-LAS,2850,40.0,2808.0,697.0,38468.0,0.014035087719298246,0.2482193732193732,13.6994301994302
DAL-LAX,2174,26.0,2144.0,510.0,33500.0,0.011959521619135235,0.23787313432835822,15.625
DAL-LBB,1662,22.0,1639.0,290.0,16799.0,0.013237063778580024,0.17693715680292862,10.24954240390482
DAL-LGA,1365,29.0,1326.0,331.0,19707.0,0.021245421245421246,0.24962292609351433,14.861990950226245
DAL-LGB,532,4.0,528.0,112.0,5720.0,0.007518796992481203,0.21212121212121213,10.833333333333334
DAL-LIT,1045,12.0,1032.0,242.0,15189.0,0.011483253588516746,0.23449612403100775,14.718023255813954
DAL-MAF,1582,28.0,1553.0,232.0,13248.0,0.017699115044247787,0.1493882807469414,8.53058596265293
DAL-MCI,2073,26.0,2043.0,383.0,21562.0,0.012542209358417752,0.18746940773372492,10.554087126774352
DAL-MCO,2564,36.0,2518.0,577.0,34878.0,0.014040561622464899,0.22915011914217634,13.851469420174741
DAL-MDW,2384,50.0,2324.0,482.0,28898.0,0.02097315436241611,0.20740103270223753,12.43459552495697
DAL-MEM,485,2.0,482.0,100.0,5352.0,0.004123711340206186,0.2074688796680498,11.103734439834025
DAL-MIA,523,8.0,513.0,136.0,9389.0,0.015296367112810707,0.2651072124756335,18.302144249512672
DAL-MKE,378,6.0,371.0,90.0,5159.0,0.015873015873015872,0.24258760107816713,13.90566037735849
DAL-MSP,70,0.0,70.0,13.0,522.0,0.0,0.18571428571428572,7.457142857142857
DAL-MSY,2419,31.0,2384.0,486.0,29670.0,0.012815212897891691,0.20385906040268456,12.445469798657719
DAL-MTJ,18,0.0,18.0,3.0,125.0,0.0,0.16666666666666666,6.944444444444445
DAL-MYR,39,0.0,39.0,10.0,386.0,0.0,0.2564102564102564,9.897435897435898
DAL-OAK,675,11.0,663.0,150.0,8778.0,0.016296296296296295,0.22624434389140272,13.239819004524886
DAL-OMA,417,5.0,412.0,70.0,4067.0,0.011990407673860911,0.16990291262135923,9.87135922330097
DAL-ONT,365,5.0,360.0,77.0,4231.0,0.0136986301369863,0.21388888888888888,11.752777777777778
DAL-ORD,1511,29.0,1479.0,275.0,15266.0,0.019192587690271344,0.18593644354293443,10.32183908045977
DAL-ORF,55,0.0,55.0,4.0,227.0,0.0,0.07272727272727272,4.127272727272727
DAL-PDX,62,1.0,61.0,17.0,833.0,0.016129032258064516,0.2786885245901639,13.655737704918034
DAL-PHL,43,0.0,43.0,9.0,454.0,0.0,0.20930232558139536,10.55813953488372
DAL-PHX,2966,49.0,2915.0,562.0,33087.0,0.016520566419420093,0.1927958833619211,11.350600343053173
DAL-PIT,355,4.0,351.0,58.0,3465.0,0.011267605633802818,0.16524216524216523,9.871794871794872
DAL-PNS,406,1.0,403.0,79.0,4177.0,0.0024630541871921183,0.19602977667493796,10.364764267990074
DAL-PSP,150,2.0,148.0,13.0,1043.0,0.013333333333333334,0.08783783783783784,7.047297297297297
DAL-RDU,394,2.0,390.0,68.0,3278.0,0.005076142131979695,0.17435897435897435,8.405128205128205
DAL-RNO,29,1.0,28.0,9.0,708.0,0.034482758620689655,0.32142857142857145,25.285714285714285
DAL-RSW,146,4.0,142.0,41.0,2006.0,0.0273972602739726,0.2887323943661972,14.126760563380282
DAL-SAN,1402,27.0,1372.0,299.0,15369.0,0.01925820256776034,0.21793002915451895,11.201895043731778
DAL-SAT,2929,40.0,2887.0,478.0,25563.0,0.013656538067599864,0.1655697956356079,8.854520263249048
DAL-SAV,384,3.0,379.0,73.0,3687.0,0.0078125,0.19261213720316622,9.728232189973614
DAL-SDF,83,0.0,83.0,19.0,965.0,0.0,0.2289156626506024,11.626506024096386
DAL-SEA,449,5.0,433.0,56.0,3006.0,0.011135857461024499,0.12933025404157045,6.9422632794457275
DAL-SFO,317,3.0,314.0,71.0,3783.0,0.00946372239747634,0.22611464968152867,12.047770700636942
DAL-SJC,659,9.0,650.0,129.0,8013.0,0.013657056145675266,0.19846153846153847,12.327692307692308
DAL-SLC,714,13.0,699.0,158.0,8766.0,0.018207282913165267,0.22603719599427755,12.540772532188841
DAL-SMF,457,3.0,453.0,99.0,5599.0,0.006564551422319475,0.2185430463576159,12.359823399558499
DAL-SNA,368,7.0,359.0,72.0,3956.0,0.019021739130434784,0.20055710306406685,11.01949860724234
DAL-SRQ,211,5.0,203.0,46.0,3284.0,0.023696682464454975,0.22660098522167488,16.177339901477833
DAL-STL,2117,30.0,2086.0,391.0,23104.0,0.014170996693434105,0.18744007670182167,11.075743048897412
DAL-TPA,1410,30.0,1378.0,295.0,17106.0,0.02127659574468085,0.21407837445573294,12.413642960812773
DAL-TUL,1302,14.0,1287.0,251.0,16233.0,0.010752688172043012,0.19502719502719504,12.613053613053612
DAL-TUS,13,0.0,13.0,2.0,158.0,0.0,0.15384615384615385,12.153846153846153
DAL-VPS,365,4.0,361.0,37.0,2153.0,0.010958904109589041,0.10249307479224377,5.96398891966759
DAY-ATL,1299,3.0,1294.0,82.0,9697.0,0.0023094688221709007,0.0633693972179289,7.493817619783616
DAY-CLT,1297,4.0,1293.0,200.0,18357.0,0.0030840400925212026,0.15467904098994587,14.197215777262182
DAY-DCA,1226,12.0,1205.0,173.0,16711.0,0.009787928221859706,0.14356846473029045,13.86804979253112
DAY-DEN,94,0.0,94.0,6.0,358.0,0.0,0.06382978723404255,3.8085106382978724
DAY-DFW,1117,10.0,1102.0,183.0,13695.0,0.008952551477170993,0.16606170598911071,12.427404718693285
DAY-LGA,606,17.0,589.0,69.0,6811.0,0.028052805280528052,0.11714770797962648,11.563667232597624
DAY-ORD,949,17.0,932.0,166.0,12969.0,0.01791359325605901,0.1781115879828326,13.915236051502147
DAY-PGD,107,0.0,105.0,34.0,3572.0,0.0,0.3238095238095238,34.01904761904762
DAY-PHL,171,2.0,169.0,15.0,1861.0,0.011695906432748537,0.08875739644970414,11.011834319526628
DAY-PIE,104,0.0,104.0,19.0,2481.0,0.0,0.18269230769230768,23.85576923076923
DAY-SFB,91,0.0,91.0,26.0,2179.0,0.0,0.2857142857142857,23.945054945054945
DCA-ACK,281,13.0,260.0,82.0,7030.0,0.046263345195729534,0.3153846153846154,27.03846153846154
DCA-AGS,365,12.0,353.0,85.0,5261.0,0.03287671232876712,0.24079320113314448,14.903682719546742
DCA-ALB,1258,31.0,1224.0,222.0,14961.0,0.0246422893481717,0.18137254901960784,12.223039215686274
DCA-ATL,6954,74.0,6872.0,1047.0,87516.0,0.010641357492090883,0.15235739231664727,12.735157159487777
DCA-AUS,365,4.0,360.0,123.0,6366.0,0.010958904109589041,0.3416666666666667,17.683333333333334
DCA-AVL,487,5.0,480.0,98.0,6309.0,0.01026694045174538,0.20416666666666666,13.14375
DCA-BDL,1896,32.0,1863.0,259.0,18426.0,0.016877637130801686,0.13902308105206657,9.89049919484702
DCA-BGR,1010,31.0,977.0,182.0,17471.0,0.030693069306930693,0.1862845445240532,17.88229273285568
DCA-BHM,1005,11.0,992.0,171.0,12285.0,0.010945273631840797,0.17237903225806453,12.384072580645162
DCA-BNA,3582,36.0,3537.0,551.0,37501.0,0.010050251256281407,0.1557817359344077,10.602487984167373
DCA-BOS,9745,191.0,9545.0,1845.0,157300.0,0.019599794766546948,0.1932949188056574,16.47983237297014
DCA-BTR,201,6.0,194.0,53.0,3282.0,0.029850746268656716,0.27319587628865977,16.917525773195877
DCA-BTV,1179,31.0,1140.0,176.0,13335.0,0.026293469041560644,0.1543859649122807,11.697368421052632
DCA-BUF,1026,21.0,1005.0,147.0,9453.0,0.02046783625730994,0.14626865671641792,9.405970149253731
DCA-CAE,1066,16.0,1048.0,173.0,12131.0,0.0150093808630394,0.1650763358778626,11.575381679389313
DCA-CAK,364,11.0,353.0,76.0,6050.0,0.03021978021978022,0.21529745042492918,17.138810198300284
DCA-CHA,298,5.0,293.0,61.0,4391.0,0.016778523489932886,0.20819112627986347,14.986348122866895
DCA-CHS,1716,23.0,1687.0,263.0,20369.0,0.013403263403263404,0.15589804386484885,12.074096028452875
DCA-CID,316,2.0,311.0,29.0,3134.0,0.006329113924050633,0.0932475884244373,10.07717041800643
DCA-CLE,1376,14.0,1360.0,203.0,17752.0,0.010174418604651164,0.14926470588235294,13.052941176470588
DCA-CLT,3095,33.0,3058.0,538.0,51660.0,0.010662358642972537,0.17593198168737736,16.893394375408764
DCA-CMH,2063,16.0,2046.0,327.0,20124.0,0.007755695588948134,0.1598240469208211,9.835777126099707
DCA-CRW,352,20.0,330.0,58.0,4695.0,0.056818181818181816,0.17575757575757575,14.227272727272727
DCA-CVG,2028,17.0,2010.0,280.0,21888.0,0.008382642998027613,0.13930348258706468,10.88955223880597
DCA-DAB,14,0.0,14.0,5.0,468.0,0.0,0.35714285714285715,33.42857142857143
DCA-DAL,1698,26.0,1660.0,318.0,19262.0,0.015312131919905771,0.19156626506024096,11.603614457831325
DCA-DAY,1223,8.0,1212.0,184.0,17134.0,0.006541291905151268,0.15181518151815182,14.136963696369637
DCA-DEN,1456,26.0,1421.0,273.0,24006.0,0.017857142857142856,0.1921182266009852,16.893736805066855
DCA-DFW,3203,55.0,3130.0,587.0,60629.0,0.017171401810802372,0.18753993610223643,19.3702875399361
DCA-DSM,848,11.0,835.0,133.0,8954.0,0.012971698113207548,0.1592814371257485,10.723353293413174
DCA-DTW,2762,50.0,2709.0,370.0,29019.0,0.018102824040550327,0.13658176448874124,10.712070874861572
DCA-ECP,303,4.0,297.0,53.0,2918.0,0.013201320132013201,0.17845117845117844,9.824915824915825
DCA-EWN,14,0.0,14.0,5.0,810.0,0.0,0.35714285714285715,57.857142857142854
DCA-EWR,868,33.0,835.0,124.0,9221.0,0.038018433179723504,0.14850299401197606,11.04311377245509
DCA-EYW,444,1.0,440.0,40.0,2320.0,0.0022522522522522522,0.09090909090909091,5.2727272727272725
DCA-FLL,2482,46.0,2413.0,615.0,51421.0,0.018533440773569703,0.2548694571073353,21.309987567343555
DCA-GRR,679,16.0,663.0,122.0,8037.0,0.023564064801178203,0.18401206636500755,12.122171945701357
DCA-GSO,972,17.0,953.0,146.0,9542.0,0.01748971193415638,0.15320041972717732,10.012591815320041
DCA-GSP,1014,17.0,995.0,146.0,10956.0,0.016765285996055226,0.14673366834170853,11.01105527638191
DCA-HHH,198,6.0,192.0,12.0,700.0,0.030303030303030304,0.0625,3.6458333333333335
DCA-HOU,1044,14.0,1026.0,215.0,13107.0,0.013409961685823755,0.20955165692007796,12.774853801169591
